fault_id,fault_val,ai_time_ms,vanilla_time_ms,vanilla_backtracks
1,D,11.521339416503906,9.575605392456055,0
1,DB,10.904550552368164,9.722232818603516,0
4,D,10.830402374267578,9.461641311645508,0
4,DB,10.900259017944336,9.514093399047852,0
7,D,10.807037353515625,9.405374526977539,0
7,DB,10.897159576416016,9.500980377197266,0
10,D,10.820388793945312,9.383440017700195,0
10,DB,10.873556137084961,9.287118911743164,0
13,D,18.658161163330078,16.89934730529785,0
13,DB,18.61095428466797,16.995668411254883,0
16,D,18.54109764099121,16.85619354248047,0
16,DB,18.76354217529297,16.843557357788086,0
19,D,16.77393913269043,14.95671272277832,0
19,DB,16.532421112060547,15.094280242919922,0
22,D,18.847227096557617,16.842126846313477,0
22,DB,18.665313720703125,16.94011688232422,0
25,D,18.218994140625,16.30544662475586,0
25,DB,18.069744110107422,16.303062438964844,0
28,D,11.471748352050781,9.398698806762695,0
28,DB,11.382818222045898,9.452104568481445,0
31,D,20.76578140258789,17.444133758544922,0
31,DB,20.395517349243164,17.567873001098633,0
34,D,17.832040786743164,14.946937561035156,0
34,DB,16.812801361083984,15.174627304077148,0
37,D,19.109249114990234,17.54140853881836,0
37,DB,19.067764282226562,17.572641372680664,0
40,D,19.005298614501953,17.606258392333984,0
40,DB,18.971920013427734,17.61007308959961,0
43,D,10.587930679321289,9.313344955444336,0
43,DB,10.59865951538086,9.44972038269043,0
46,D,10.634899139404297,9.431123733520508,0
46,DB,10.681390762329102,9.539365768432617,0
49,D,9.783744812011719,8.628129959106445,0
49,DB,9.835958480834961,8.66079330444336,0
53,D,22.57394790649414,20.592451095581055,0
53,DB,22.490262985229492,20.64990997314453,0
56,D,9.946346282958984,8.622884750366211,0
56,DB,9.855985641479492,8.618354797363281,0
60,D,21.69013023376465,20.123958587646484,0
60,DB,21.800756454467773,19.96612548828125,0
63,D,9.316682815551758,8.062362670898438,0
63,DB,9.33527946472168,8.00323486328125,0
66,D,9.29117202758789,7.953405380249023,0
66,DB,9.273767471313477,7.964372634887695,0
69,D,10.884284973144531,9.580373764038086,0
69,DB,10.858297348022461,9.761333465576172,0
72,D,37.026166915893555,34.68585014343262,11
72,DB,37.05334663391113,34.90757942199707,11
76,D,9.18436050415039,7.867336273193359,0
76,DB,9.14907455444336,7.907390594482422,0
79,D,9.156465530395508,7.956981658935547,0
79,DB,9.041070938110352,7.905006408691406,0
82,D,9.17196273803711,7.889270782470703,0
82,DB,8.920431137084961,7.931232452392578,0
85,D,8.695840835571289,7.943868637084961,0
85,DB,8.68678092956543,7.96055793762207,0
88,D,15.162467956542969,14.564990997314453,0
88,DB,15.238523483276367,14.542341232299805,0
91,D,15.040874481201172,14.541387557983398,0
91,DB,15.122413635253906,14.499187469482422,0
94,D,22.337675094604492,21.784067153930664,1
94,DB,22.33409881591797,21.760940551757812,1
99,D,18.19157600402832,17.5626277923584,0
99,DB,18.15009117126465,17.49396324157715,0
104,D,4.860162734985352,4.001140594482422,0
104,DB,4.823446273803711,3.969430923461914,0
