fault_index,gate_id,fault_val,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,classic_backtrace_count,classic_backtrace_hops,classic_time_s
113,4784,3,True,1,0,21,0,168,0.524763
114,4787,4,True,1,0,20,0,217,0.495054
115,4790,3,True,1,0,21,0,211,0.511835
116,4809,4,True,1,3,31,0,139,0.814696
117,4810,3,False,2,137,288,0,1019,10.034434
118,4811,4,True,1,0,22,0,110,0.53776
119,4816,4,True,1,0,22,0,99,0.529734
120,4819,4,True,1,1,26,0,117,0.644678
121,4821,4,True,1,1,27,0,129,0.661783
122,4822,3,True,1,0,22,0,117,0.529624
123,4829,3,True,1,0,23,0,114,0.554127
124,4833,4,True,1,0,22,0,112,0.537008
125,4844,4,True,1,2,27,0,105,0.702612
126,4847,3,True,1,2,28,0,129,0.737978
127,4849,3,True,1,2,28,0,126,0.727826
128,4849,4,True,1,2,27,0,121,0.709211
129,4852,4,True,1,2,29,0,136,0.745827
130,4856,3,False,0,7,15,0,22,0.53841
131,4862,3,True,1,0,8,0,19,0.221988
132,4863,3,True,1,0,8,0,20,0.212848
133,4863,4,True,1,0,11,0,33,0.294485
134,4899,4,True,1,0,9,0,23,0.233646
135,4908,4,True,1,0,9,0,21,0.233965
136,4909,3,True,1,0,7,0,13,0.188874
137,4911,3,True,1,0,9,0,37,0.233981
138,4911,4,True,1,0,9,0,37,0.238297
139,4916,4,True,1,2,15,0,52,0.427927
140,4934,4,True,1,0,6,0,9,0.16797
141,5013,4,True,1,0,21,0,172,0.510106
142,5017,4,False,2,93,298,0,1643,10.006015
143,5033,4,False,2,120,332,0,1571,10.031874
144,5034,4,True,1,0,14,0,43,0.365142
145,5037,4,False,2,232,617,0,2893,10.029265
146,5039,3,True,1,0,26,0,197,0.280817
147,5042,4,True,1,0,14,0,42,0.154522
148,5043,4,True,1,0,21,0,194,0.233795
149,5058,3,False,2,239,594,0,2373,10.00495
150,5061,4,True,1,0,29,0,254,0.324323
151,5062,3,True,1,0,31,0,276,0.557372
152,5063,4,True,1,1,32,0,249,0.35143
153,5064,3,True,1,0,30,0,248,0.474972
154,5065,3,True,1,0,30,0,246,0.324204
155,5066,4,True,1,1,32,0,248,0.358942
156,5073,4,False,2,301,649,0,5492,10.002035
157,5081,4,False,2,296,665,0,9982,10.008593
158,5082,3,False,2,275,619,0,9341,10.008382
159,5083,4,False,2,134,345,0,6045,10.008362
160,5084,4,False,2,248,567,0,4491,10.002728
161,5085,4,False,2,268,611,0,4987,10.001587
162,5086,3,False,2,289,653,0,5178,10.003571
163,5087,4,False,2,291,663,0,5221,10.001663
164,5089,3,False,2,296,662,0,5218,10.004833
165,5091,3,False,2,296,665,0,5337,10.000152
166,5099,3,False,2,289,648,0,4526,10.00323
167,5100,4,False,2,292,649,0,4199,10.017593
168,5101,4,False,2,292,649,0,4199,10.038238
169,5104,3,False,2,300,659,0,4243,10.070903
170,5105,3,False,2,288,641,0,4152,10.000329
171,5105,4,False,2,293,652,0,4198,10.041959
172,5107,3,False,2,300,659,0,4242,10.000312
173,5112,3,False,2,295,653,0,3954,10.000214
174,5114,4,False,2,214,494,0,3102,10.00724
175,5117,3,False,2,274,613,0,3564,10.009191
176,5118,4,False,2,172,404,0,2464,10.009749
177,5120,4,False,2,249,555,0,3240,10.068026
178,5123,4,False,2,219,503,0,2983,10.0029
179,5131,3,False,2,283,726,0,3240,10.020064
180,5132,3,True,1,0,31,0,219,0.344884
181,5132,4,True,1,0,23,0,166,0.254201
182,5133,3,True,1,0,26,0,182,0.280378
183,5134,4,True,1,0,14,0,44,0.150527
184,5137,3,True,1,0,42,0,455,0.43571
185,5138,4,True,1,0,14,0,44,0.150876
186,5139,3,False,2,290,742,0,3286,10.014034
187,5147,3,True,1,24,82,0,458,1.083451
188,5147,4,True,1,24,91,0,593,1.173015
189,5161,4,True,1,25,92,0,687,1.200803
190,5162,3,False,2,281,662,0,1876,10.00397
191,5175,3,True,1,3,32,0,149,0.394777
192,5185,4,True,1,3,31,0,151,0.375441
193,5188,4,True,1,0,14,0,46,0.167642
194,5189,3,True,1,0,14,0,46,0.162181
195,5218,4,True,1,0,5,0,5,0.067248
196,5262,3,True,1,65,157,0,540,2.31655
197,5264,4,True,1,0,5,0,6,0.067038
198,5267,3,True,1,0,34,0,127,0.387476
199,5269,4,True,1,0,5,0,7,0.067449
200,5295,4,False,0,11,23,0,46,0.818469
201,5303,3,True,1,0,33,0,289,0.621766
202,5306,3,True,1,0,9,0,27,0.110599
203,5306,4,True,1,0,9,0,23,0.11152
204,5331,4,True,1,0,26,0,246,0.303045
205,5332,4,True,1,0,25,0,226,0.339113
206,5335,3,True,1,0,68,0,488,0.91358
207,5337,4,False,2,299,659,0,505,10.009088
