fault_index,original_fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,time_s,classic_timeout_time_s,classic_timeout_backtracks,classic_timeout_recursive_calls,ai_error
682,1984,10730,4,False,1,False,1,42,2.6654,0.0152,2.8901,10.2733,2,318,15.8475,10.010206,277,636,
683,1988,10735,4,False,1,False,1,24,2.0791,0.0152,2.0604,10.0771,2,335,14.2356,10.019178,249,523,
684,1993,10741,3,True,1,True,1,15,1.2745,0.0157,0.0,0.161,1,0,1.4547,10.009987,287,608,
685,2006,10766,3,False,1,False,1,61,3.6257,0.0158,2.5125,10.902,2,319,17.0591,10.001182,117,307,
686,2007,10768,3,False,1,False,1,48,3.3746,0.0161,0.2989,10.7404,2,57,14.4333,10.004558,117,320,
687,2008,10768,4,False,1,False,1,57,6.1483,0.0262,0.5611,11.4116,2,167,18.153,10.019708,123,312,
688,2009,10769,4,False,1,False,1,55,0.4079,0.0174,0.0026,11.2213,2,213,11.6537,10.026727,124,311,
689,2010,10782,3,False,1,False,1,33,5.9621,0.0,6.0087,10.5271,2,215,22.5018,10.020282,121,311,
690,2011,10788,4,False,1,False,1,20,7.6424,0.0155,7.4833,10.2601,2,168,25.4053,10.018245,127,298,
691,2012,10793,4,False,1,False,1,0,0.0,0.0,0.0,0.0,0,0,20.0046,10.439248,143,319,AI solve exceeded 10.00s
692,2014,10800,3,False,1,False,1,49,1.4591,0.0271,1.7062,10.9027,2,164,14.1013,10.010266,112,323,
693,2015,10801,3,False,1,False,1,73,0.7961,0.0259,0.3726,11.8249,2,165,13.0263,10.015409,127,319,
694,2017,10811,4,False,1,False,1,29,0.8055,0.0,0.1822,10.8586,2,168,11.853,10.364715,135,325,
695,2018,10812,4,False,1,False,1,25,0.7918,0.0,0.1974,10.9246,2,178,11.9209,10.021947,118,316,
696,2022,10819,4,False,1,False,1,24,0.8291,0.0,0.2025,10.6791,2,170,11.7176,10.006403,127,307,
697,2023,10822,4,False,1,False,1,21,0.7849,0.0,0.1597,10.5856,2,169,11.5366,10.015981,127,310,
698,2031,10860,4,False,1,False,1,13,0.0159,0.0,0.0,10.3656,2,317,10.3881,10.017548,141,299,
699,2032,10861,3,False,1,False,1,20,2.2405,0.0155,2.1634,10.2991,2,339,14.7231,10.021859,139,318,
700,2033,10863,3,False,1,False,1,19,1.63,0.0163,1.6262,10.2899,2,343,13.5672,10.344595,143,311,
701,2035,10867,4,False,1,False,1,31,2.4241,0.0,2.3616,10.4859,2,331,15.276,10.005621,135,317,
702,2037,10869,4,False,1,False,1,50,1.4687,0.0162,1.4107,10.5635,2,327,13.4633,10.155012,137,314,
703,2044,10880,3,False,1,False,1,12,1.124,0.0157,0.439,10.0982,2,323,11.6823,10.009443,123,332,
704,2046,10882,3,True,1,False,1,37,0.6531,0.0153,0.4105,9.7131,1,312,10.7964,10.040964,135,308,
705,2053,10896,4,False,1,False,1,49,1.36,0.0155,1.4233,10.1779,2,320,12.9809,10.012819,118,318,
706,2054,10898,3,False,1,False,1,15,0.6931,0.0162,0.6945,10.2779,2,338,11.685,10.003156,133,306,
707,2055,10899,3,False,1,False,1,13,0.7053,0.0164,0.7228,10.1993,2,335,11.647,10.015073,125,319,
708,2057,10901,4,False,1,False,1,30,0.7695,0.0154,0.902,10.1961,2,328,11.8863,10.005457,117,311,
709,2062,10905,4,False,1,False,1,21,1.0009,0.0166,0.841,10.0786,2,326,11.9407,10.018704,120,318,
710,2063,10908,4,False,1,False,1,20,0.7804,0.0166,0.8457,10.0606,2,324,11.7066,10.011627,115,313,
711,2065,10912,4,False,1,False,1,42,0.8089,0.0161,0.8358,10.376,2,313,12.04,10.003775,123,322,
712,2068,10916,4,False,1,False,1,37,0.7978,0.0157,0.8407,10.3046,2,319,11.9622,10.02181,120,324,
713,2069,10918,4,False,1,False,1,36,0.817,0.016,0.8542,10.2909,2,320,11.9814,10.00409,117,316,
714,2070,10919,4,False,1,False,1,35,0.7931,0.0155,0.8307,10.2725,2,323,11.9151,10.243451,126,315,
715,2072,10921,4,False,1,False,1,33,0.8197,0.0155,0.8379,10.3456,2,330,12.022,10.081011,128,315,
716,2076,10939,4,True,1,True,1,39,1.234,0.0156,0.0,0.2407,1,0,1.4932,10.051181,129,295,
717,2092,10975,3,True,1,True,1,33,2.0853,0.0158,0.0,0.2007,1,0,2.306,10.008889,141,321,
718,2095,10990,4,False,1,False,1,37,3.6497,0.0154,2.1771,10.2493,2,326,16.0958,10.409743,138,334,
719,2096,10991,4,False,1,False,1,36,3.2179,0.0153,2.1474,10.2594,2,268,15.6441,10.193734,118,310,
720,2097,10993,4,False,1,False,1,35,3.7175,0.0156,2.2594,10.2672,2,228,16.2639,10.041378,116,302,
721,2098,10995,4,False,1,False,1,39,3.977,0.0263,3.8097,10.5729,2,164,18.3921,10.056212,164,432,
722,2099,10997,4,False,1,False,1,39,8.8351,0.028,3.1977,10.507,2,321,22.5759,10.006476,278,635,
723,2102,11011,3,False,1,False,1,46,1.0679,0.0159,0.9313,10.6632,2,325,12.6814,10.105731,283,627,
724,2103,11012,3,False,1,False,1,34,0.8565,0.0155,0.8642,10.4754,2,318,12.2147,10.000776,282,631,
725,2104,11014,3,False,1,False,1,37,0.9188,0.016,0.8592,10.5137,2,277,12.3106,10.028396,148,361,
726,2105,11016,4,False,1,False,1,25,1.7309,0.0269,1.5931,10.3392,2,319,13.6943,10.099789,131,297,
727,2106,11021,4,False,1,False,1,23,1.3469,0.0157,0.5293,10.4165,2,319,12.3123,10.009414,126,309,
728,2107,11022,4,False,1,False,1,25,1.1689,0.0151,0.487,10.424,2,332,12.0982,10.0137,129,290,
729,2108,11023,3,False,1,False,1,69,0.923,0.015,1.1434,11.0412,2,250,13.1257,10.019457,117,309,
730,2109,11025,4,False,1,False,1,25,1.2804,0.0299,0.2125,10.3104,2,313,11.8363,10.001952,115,317,
731,2114,11039,3,False,1,False,1,42,3.257,0.0157,2.1482,10.6056,2,314,16.0297,10.014982,161,403,
732,2115,11039,4,False,1,False,1,28,3.5262,0.0158,3.8461,10.4024,2,246,17.7933,10.003861,284,639,
733,2116,11047,3,False,1,False,1,42,6.4566,0.0256,5.9675,11.044,2,272,23.4989,10.007808,292,665,
734,2117,11048,3,False,1,False,1,44,5.6268,0.0153,3.4794,10.6589,2,205,19.7842,10.003197,304,689,
735,2156,11200,4,False,1,False,1,42,7.6602,0.0261,5.215,10.8716,2,275,23.779,10.048281,293,670,
736,2157,11203,4,False,1,False,1,32,2.7682,0.0154,4.1936,10.37,2,171,17.3509,10.055631,98,300,
737,2158,11209,4,False,1,False,1,46,4.0749,0.0158,3.3322,10.5507,2,319,17.9773,10.023904,294,644,
738,2159,11210,3,False,1,False,1,62,4.31,0.015,3.4253,11.0937,2,312,18.8477,10.011025,294,659,
739,2160,11212,3,False,1,False,1,57,4.2258,0.0149,3.1426,10.8364,2,296,18.2233,10.007619,301,664,
740,2161,11213,3,False,1,False,1,55,4.3396,0.0153,3.1126,10.8091,2,327,18.2802,10.010492,283,632,
741,2162,11216,3,False,1,False,1,51,5.3211,0.0154,3.2664,10.798,2,264,19.4046,10.018944,263,591,
742,2163,11217,3,False,1,False,1,49,7.9307,0.0153,4.5801,10.9929,2,297,23.5226,10.001914,249,549,
743,2165,11220,4,False,1,False,1,33,5.9987,0.0151,0.0,0.3467,,0,16.3657,10.007861,256,617,AI solve exceeded 10.00s
744,2171,11233,3,False,1,False,1,31,3.5992,0.0153,2.5328,10.2574,2,318,16.4113,10.031226,165,411,
745,2175,11240,3,False,1,False,1,40,2.5763,0.0162,2.5135,10.4043,2,303,15.5151,10.018392,207,497,
746,2176,11243,3,True,1,True,1,32,4.1413,0.0156,0.0,0.4682,1,0,4.6289,10.00159,135,298,
747,2179,11251,4,False,1,False,1,2,1.046,0.0153,1.0477,10.04,2,274,12.1524,10.001152,134,286,
748,2182,11255,4,False,1,False,1,28,0.8561,0.0158,0.8508,10.3571,2,319,12.0833,10.009355,180,418,
749,2186,11265,4,False,1,False,1,48,1.2791,0.0154,0.992,10.5028,2,153,12.7929,10.000189,286,652,
750,2187,11266,4,False,1,False,1,48,1.3987,0.0154,1.4363,10.5382,2,182,13.3921,10.101066,66,220,
751,2188,11268,4,False,1,False,1,49,1.4166,0.016,1.4333,10.5201,2,310,13.3896,10.13223,267,621,
752,2190,11269,4,False,1,False,1,52,1.4511,0.0154,1.535,10.5668,2,165,13.5721,10.001413,290,673,
753,2192,11270,4,False,1,False,1,44,1.4505,0.0155,1.4469,10.4311,2,302,13.3477,10.006502,291,700,
754,2193,11273,3,False,1,False,1,5,6.3446,0.0151,6.2793,10.0218,2,297,22.6647,10.012235,160,429,
755,2194,11273,4,False,1,False,1,31,6.1162,0.0,5.9147,10.4914,2,260,22.5251,10.18524,71,235,
756,2195,11275,3,False,1,False,1,5,6.0262,0.0154,6.1006,10.0203,2,304,22.1665,10.016738,112,341,
757,2196,11276,3,False,1,False,1,5,5.9605,0.0152,6.015,10.0194,2,307,22.014,10.029118,106,334,
758,2197,11279,3,False,1,False,1,1,0.6612,0.0155,0.7136,10.0163,2,308,11.4108,10.012252,114,341,
759,2198,11284,4,False,1,False,1,24,0.3863,0.0,0.1754,10.3836,2,341,10.9494,10.018682,138,315,
760,2199,11289,4,False,1,False,1,8,0.0075,0.0,0.0,10.1362,2,334,10.1481,10.11381,146,296,
761,2200,11291,3,False,1,False,1,1,0.6789,0.0155,0.8197,10.0239,2,270,11.5422,10.011251,117,333,
762,2213,11345,4,False,1,False,1,12,0.4173,0.0152,1.082,10.0762,2,322,11.596,10.016031,273,621,
763,2214,11350,3,False,1,False,1,24,1.2062,0.0162,1.123,10.4796,2,341,12.8298,10.011749,288,604,
764,2215,11351,3,False,1,False,1,32,0.8991,0.0159,0.8189,10.4889,2,329,12.2278,10.009167,294,630,
765,2218,11356,3,False,1,False,1,22,0.9325,0.016,1.125,10.3025,2,210,12.3813,10.001329,302,631,
766,2219,11357,4,False,1,False,1,19,1.5034,0.0,0.9746,10.3081,2,257,12.7925,10.010114,308,639,
767,2220,11358,4,False,1,False,1,26,1.1827,0.0,0.9372,10.4174,2,234,12.546,10.009804,300,686,
768,2222,11369,3,False,1,False,1,23,4.4298,0.0,2.1057,10.3606,2,337,16.9037,10.001802,277,585,
769,2232,11392,4,False,1,False,1,56,0.6535,0.0164,0.4608,10.8391,2,322,11.9739,10.001128,300,664,
770,2245,11416,3,False,1,False,1,23,1.8994,0.0149,2.1882,10.2359,2,308,14.3429,10.003366,286,650,
771,2246,11418,4,False,1,False,1,34,1.1348,0.0154,1.3506,10.2846,2,338,12.79,10.030906,306,686,
772,2247,11420,4,False,1,False,1,34,1.2633,0.0158,1.5634,10.4998,2,183,13.3469,10.005472,274,618,
773,2252,11443,4,False,1,False,1,37,6.7615,0.0256,1.148,10.5904,2,278,18.5313,10.022268,277,622,
