fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_backtracks,classic_ok,classic_backtracks,ai_less_backtracks,ai_error,time_s,classic_time_s
77,412,4,True,1,False,1,0,0,True,0,False,,0.0616,0.0586
78,415,4,True,1,False,1,0,0,True,0,False,,0.0618,0.0639
79,418,3,True,1,False,1,0,0,True,0,False,,0.0616,0.0583
80,419,4,True,1,False,1,0,0,True,0,False,,0.0621,0.0582
81,424,3,True,1,False,1,0,0,True,0,False,,0.0843,0.0789
82,431,4,True,1,False,1,0,0,True,0,False,,0.082,0.0787
83,438,4,True,1,False,1,0,0,True,0,False,,0.0815,0.0782
84,442,3,True,1,False,1,0,0,True,0,False,,0.0828,0.0792
85,450,3,True,1,False,1,0,0,True,0,False,,0.0826,0.0792
86,452,4,True,1,False,1,0,0,True,0,False,,0.083,0.0798
87,455,4,True,1,False,1,0,0,True,0,False,,0.0853,0.0798
88,461,4,True,1,False,1,0,0,True,0,False,,0.1028,0.1014
89,462,4,True,1,False,1,0,0,True,0,False,,0.1081,0.1008
90,468,4,True,1,False,1,0,0,True,0,False,,0.1029,0.0998
91,470,3,True,1,False,1,0,0,True,0,False,,0.1026,0.098
92,474,4,True,1,False,1,0,0,True,0,False,,0.1044,0.0998
93,476,4,True,1,False,1,0,0,True,0,False,,0.1024,0.0997
94,479,3,True,1,False,1,0,0,True,0,False,,0.1072,0.1114
95,485,3,True,1,False,1,0,0,True,0,False,,0.1012,0.0988
96,485,4,True,1,False,1,0,0,True,0,False,,0.1006,0.0994
97,488,4,True,1,False,1,0,0,True,0,False,,0.1028,0.1013
98,496,3,True,1,False,1,0,0,True,0,False,,0.1048,0.1008
99,507,3,True,1,False,1,0,0,True,0,False,,0.1247,0.102
100,517,3,True,1,False,1,0,0,True,0,False,,0.1121,0.1022
101,523,3,True,1,False,1,0,0,True,0,False,,0.1044,0.1026
102,524,4,True,1,False,1,0,0,True,0,False,,0.1055,0.0993
103,525,4,True,1,False,1,0,0,True,0,False,,0.1057,0.1002
104,526,4,True,1,False,1,0,0,True,0,False,,0.1033,0.1012
105,529,4,True,1,False,1,0,0,True,0,False,,0.1051,0.1003
106,537,4,True,1,False,1,0,0,True,0,False,,0.1032,0.1002
107,546,3,True,1,False,1,0,0,True,0,False,,0.1034,0.1005
108,563,4,True,1,False,1,0,0,True,0,False,,0.1015,0.0975
109,566,3,True,1,False,1,0,0,True,0,False,,0.1044,0.1013
110,578,3,True,1,False,1,0,0,True,0,False,,0.104,0.0997
111,581,4,True,1,False,1,0,0,True,0,False,,0.0612,0.0627
112,583,3,True,1,False,1,0,0,True,0,False,,0.0735,0.0612
113,587,3,True,1,False,1,0,0,True,0,False,,0.0656,0.064
114,596,4,True,1,False,1,0,0,True,0,False,,0.0854,0.0823
115,601,4,True,1,False,1,0,0,True,0,False,,0.086,0.0806
116,602,3,True,1,False,1,0,0,True,0,False,,0.0853,0.0801
117,611,4,True,1,False,1,0,0,True,0,False,,0.0872,0.0854
118,614,3,True,1,False,1,0,0,True,0,False,,0.0847,0.0816
119,620,3,True,1,False,1,0,0,True,0,False,,0.0843,0.0801
120,623,4,True,1,False,1,0,0,True,0,False,,0.0831,0.0803
121,625,4,True,1,False,1,0,0,True,0,False,,0.0854,0.0806
122,632,3,True,1,False,1,0,0,True,0,False,,0.145,0.1408
123,633,4,True,1,False,1,0,0,True,0,False,,0.0809,0.0783
124,634,3,True,1,False,1,0,0,True,0,False,,0.0819,0.0786
125,636,3,True,1,False,1,0,0,True,0,False,,0.0823,0.0783
126,636,4,True,1,False,1,0,0,True,0,False,,0.0807,0.0768
127,638,3,True,1,False,1,0,0,True,0,False,,0.0984,0.0781
128,638,4,True,1,False,1,0,0,True,0,False,,0.0807,0.0765
129,639,3,True,1,False,1,0,0,True,0,False,,0.081,0.0773
130,654,4,True,1,False,1,0,0,True,0,False,,0.0808,0.0792
131,661,3,True,1,False,1,0,0,True,0,False,,0.0823,0.0782
132,667,3,True,1,False,1,0,0,True,0,False,,0.0613,0.0578
133,674,4,True,1,False,1,0,0,True,0,False,,0.0624,0.0574
134,677,3,True,1,False,1,0,0,True,0,False,,0.0606,0.0577
135,678,3,True,1,False,1,0,0,True,0,False,,0.0618,0.0572
136,679,3,True,1,False,1,0,0,True,0,False,,0.0605,0.0595
137,682,4,True,1,False,1,0,0,True,0,False,,0.0598,0.0578
138,709,3,True,1,False,1,0,0,True,0,False,,0.0606,0.0567
139,710,4,True,1,False,1,0,0,True,0,False,,0.0613,0.0567
140,713,3,True,1,False,1,0,0,True,0,False,,0.0601,0.0565
141,713,4,True,1,False,1,0,0,True,0,False,,0.0613,0.0592
142,720,3,True,1,False,1,0,0,True,0,False,,0.0612,0.0587
143,723,4,True,1,False,1,0,0,True,0,False,,0.0614,0.0582
144,727,4,True,1,False,1,0,0,True,0,False,,0.3514,0.3468
145,735,3,True,1,False,1,0,0,True,0,False,,0.351,0.3467
146,736,4,True,1,False,1,0,0,True,0,False,,0.3455,0.3399
147,739,3,True,1,False,1,0,0,True,0,False,,0.3438,0.3421
148,740,3,True,1,False,1,0,0,True,0,False,,0.3675,0.3457
149,748,3,True,1,False,1,0,0,True,0,False,,0.4891,0.487
150,759,4,True,1,False,1,0,0,True,0,False,,0.0617,0.0581
151,764,3,True,1,False,1,0,0,True,0,False,,0.0625,0.0587
152,767,3,True,1,False,1,0,0,True,0,False,,0.062,0.0592
153,775,3,True,1,False,1,0,0,True,0,False,,0.0619,0.0588
154,776,3,True,1,False,1,0,0,True,0,False,,0.0622,0.0591
155,777,4,True,1,False,1,0,0,True,0,False,,0.0619,0.0594
156,782,4,True,1,False,1,0,0,True,0,False,,0.0616,0.0602
157,791,4,True,1,False,1,0,0,True,0,False,,0.1027,0.1002
158,798,3,True,1,False,1,0,0,True,0,False,,0.1022,0.1004
159,801,4,True,1,False,1,0,0,True,0,False,,0.1027,0.0992
160,804,3,True,1,False,1,0,0,True,0,False,,0.1039,0.0991
161,804,4,True,1,False,1,0,0,True,0,False,,0.101,0.0979
162,809,3,True,1,False,1,0,0,True,0,False,,0.1013,0.0981
163,812,4,True,1,False,1,0,0,True,0,False,,0.1011,0.0991
164,813,4,True,1,False,1,0,0,True,0,False,,0.1027,0.0986
165,826,3,True,1,False,1,0,0,True,0,False,,0.06,0.0571
166,829,4,True,1,False,1,0,0,True,0,False,,0.1028,0.0983
167,831,3,True,1,False,1,0,0,True,0,False,,0.205,0.2045
168,834,4,True,1,False,1,0,0,True,0,False,,0.0814,0.0778
169,837,3,True,1,False,1,0,0,True,0,False,,0.0607,0.0562
170,843,4,True,1,False,1,0,0,True,0,False,,0.0774,0.06
171,858,3,True,1,False,1,0,0,True,0,False,,0.0612,0.0566
172,864,3,True,1,False,1,0,0,True,0,False,,0.0608,0.0582
173,865,3,True,1,False,1,0,0,True,0,False,,0.0618,0.0573
174,866,4,True,1,False,1,0,0,True,0,False,,0.0608,0.0577
175,871,3,True,1,False,1,0,0,True,0,False,,0.0828,0.0796
176,877,3,True,1,False,1,0,0,True,0,False,,0.082,0.0787
177,878,4,True,1,False,1,0,0,True,0,False,,0.0822,0.0818
178,886,4,True,1,False,1,0,0,True,0,False,,0.0827,0.0813
179,888,3,True,1,False,1,0,0,True,0,False,,0.0835,0.0783
180,892,3,True,1,False,1,0,0,True,0,False,,0.0803,0.0776
181,893,3,True,1,False,1,0,0,True,0,False,,0.0809,0.0776
182,897,4,True,1,False,1,0,0,True,0,False,,0.0819,0.0784
183,898,3,True,1,False,1,0,0,True,0,False,,0.0831,0.08
184,902,3,True,1,False,1,0,0,True,0,False,,0.0811,0.0792
185,902,4,True,1,False,1,0,0,True,0,False,,0.0818,0.0791
186,912,4,True,1,False,1,0,0,True,0,False,,0.1665,0.1612
187,921,3,True,1,False,1,0,0,True,0,False,,0.1637,0.1632
188,923,4,True,1,False,1,0,0,True,0,False,,0.1664,0.162
189,931,3,True,1,False,1,0,0,True,0,False,,0.1653,0.1616
