rank,fault_index,gate_id,fault_val,classic_backtracks,classic_time_s,ai_time_s,classic_ok,precheck_success,attempts_used
114,4623,22987,4,58,3.7954,4.8563,True,False,1
115,5596,27901,4,57,3.9963,4.6581,True,False,1
116,1491,7289,4,56,4.0628,4.104,True,False,1
117,344,1695,4,56,3.9697,4.0238,True,False,1
118,6137,30615,4,55,4.0427,4.5964,True,False,1
119,4287,21365,3,55,3.8173,4.6594,True,False,1
120,561,2706,4,53,4.8193,4.8634,True,False,1
121,5368,26733,4,53,4.1621,4.2339,True,False,1
122,1135,5461,3,53,4.0154,4.0902,True,False,1
123,1282,6272,3,52,3.7162,3.7341,True,False,1
124,4920,24539,3,50,4.1245,4.8079,True,False,1
125,622,3005,4,50,3.7615,3.849,True,False,1
126,1600,7770,3,47,3.5908,3.8181,True,False,1
127,1566,7595,3,47,3.5436,0.6826,True,False,1
128,3114,15215,3,46,4.3606,4.6941,True,False,1
129,4541,22544,4,46,4.329,4.8659,True,False,1
130,6285,31384,4,46,3.9354,6.2067,True,False,1
131,4882,24287,4,46,3.2946,3.886,True,False,1
132,5265,26235,4,45,4.4225,5.4349,True,False,1
133,6260,31226,3,44,3.8826,4.2864,True,False,1
134,6225,31048,3,44,3.8491,4.593,True,False,1
135,6306,31459,3,44,3.8347,4.3184,True,False,1
136,6147,30672,3,44,3.8294,4.3979,True,False,1
137,1053,5145,4,44,3.5889,3.553,True,False,1
138,1238,6066,3,44,3.5817,3.6117,True,False,1
139,920,4406,4,44,3.4659,3.545,True,False,1
140,6280,31346,3,43,3.7363,4.2,True,False,1
141,761,3694,3,43,3.703,3.7809,True,False,1
142,4124,20503,3,43,3.393,3.5275,True,False,1
143,5597,27908,3,43,3.249,4.266,True,False,1
144,3803,18823,4,43,3.0774,3.9121,True,False,1
145,930,4447,3,43,3.0036,3.096,True,False,1
146,624,3010,4,42,3.4008,3.4259,True,False,1
147,4883,24291,4,42,3.1333,4.3121,True,False,1
148,5859,29202,4,40,3.7275,3.7222,True,False,1
149,5594,27891,4,40,3.5387,3.5622,True,False,1
150,5491,27376,4,40,3.4974,3.5018,True,False,1
151,341,1682,3,40,3.084,3.1233,True,False,1
152,5593,27891,3,40,3.0286,3.0781,True,False,1
153,4692,23311,4,39,2.8848,3.9155,True,False,1
154,3094,15122,3,38,2.8524,2.8513,True,False,1
155,3595,17688,4,38,2.7284,6.4545,True,False,1
156,3528,17329,4,37,2.6857,3.4221,True,False,1
157,4381,21796,4,36,2.767,3.102,True,False,1
158,2983,14561,4,36,2.6015,3.2696,True,False,1
159,297,1475,3,34,2.6606,2.6966,True,False,1
160,298,1475,4,34,2.6379,2.6486,True,False,1
161,3298,16173,4,34,2.2979,2.9618,True,False,1
162,5684,28391,4,32,3.1131,3.13,True,False,1
163,3668,18045,4,32,2.9546,3.0417,True,False,1
164,5707,28515,3,32,2.4701,2.4926,True,False,1
165,1241,6081,4,31,2.4177,2.4297,True,False,1
166,3740,18478,3,31,2.3789,2.842,True,False,1
167,6278,31338,4,30,2.7344,4.8647,True,False,1
168,1240,6080,4,30,2.3716,2.3826,True,False,1
169,418,2017,3,30,2.279,2.3495,True,False,1
170,423,2036,4,30,2.2786,2.3456,True,False,1
171,4379,21792,4,29,3.1998,3.3515,True,False,1
172,1661,8112,4,29,2.3135,2.4909,True,False,1
173,2984,14562,4,29,2.01,2.4563,True,False,1
174,5385,26808,3,28,2.4031,2.4498,True,False,1
175,1442,7017,4,28,2.2681,2.322,True,False,1
176,2290,11400,4,26,2.3478,3.3072,True,False,1
177,2397,11884,3,26,2.3386,3.2501,True,False,1
178,2070,10107,3,26,2.3087,3.2124,True,False,1
179,3505,17227,3,26,2.0719,2.0996,True,False,1
180,1877,9163,3,25,2.2291,2.3001,True,False,1
181,1646,8031,4,25,2.2233,2.2467,True,False,1
182,5507,27457,4,24,2.6249,2.7085,True,False,1
183,1440,7013,4,24,2.1659,2.1964,True,False,1
184,1055,5149,3,24,2.1431,2.1725,True,False,1
185,1431,6977,3,24,2.1386,2.2044,True,False,1
186,1438,7007,4,24,2.1062,2.085,True,False,1
187,3775,18667,3,24,1.9697,1.96,True,False,1
188,5763,28736,3,21,2.4622,2.882,True,False,1
189,1917,9353,3,21,2.2804,2.8156,True,False,1
190,1671,8176,4,21,1.9808,2.0603,True,False,1
191,2466,12260,4,21,1.6862,1.9033,True,False,1
192,3994,19792,4,21,1.6739,2.4055,True,False,1
193,2643,12989,4,21,1.6355,1.9766,True,False,1
194,2002,9810,3,20,1.7752,3.2524,True,False,1
195,2174,10758,3,20,1.6724,2.6235,True,False,1
196,2585,12777,4,20,1.5812,1.638,True,False,1
197,630,3031,3,18,2.1971,2.2291,True,False,1
198,1668,8165,4,18,1.8568,1.9079,True,False,1
199,2918,14301,4,18,1.3627,2.4593,True,False,1
200,4162,20686,3,17,1.3037,1.8913,True,False,1
201,4250,21142,3,17,1.232,2.0957,True,False,1
202,2201,10921,3,16,1.9624,2.0491,True,False,1
203,4931,24602,3,16,1.8142,2.7659,True,False,1
204,4960,24735,4,16,1.4605,3.1209,True,False,1
205,1432,6978,3,15,1.616,1.6228,True,False,1
206,2522,12498,4,15,1.3554,2.0415,True,False,1
207,4923,24547,4,15,1.246,2.7837,True,False,1
208,5019,25010,3,15,1.2413,2.0104,True,False,1
209,4430,22011,4,15,1.2086,2.3898,True,False,1
210,4429,22009,4,15,1.2083,1.9536,True,False,1
211,1648,8054,4,14,1.5271,1.5896,True,False,1
212,1447,7032,4,14,1.5025,1.5739,True,False,1
213,4959,24734,4,14,1.3351,2.4268,True,False,1
214,4331,21582,3,14,1.2035,2.0633,True,False,1
215,2048,10010,4,14,1.0524,1.4495,True,False,1
216,5860,29203,4,12,1.971,2.0362,True,False,1
217,304,1487,4,12,1.9126,1.9301,True,False,1
218,303,1486,3,12,1.9119,1.9592,True,False,1
219,4329,21549,3,12,1.8244,1.8567,True,False,1
220,2657,13046,3,12,1.7963,1.9094,True,False,1
221,5216,25978,4,12,1.7952,2.118,True,False,1
222,4811,23901,3,12,1.7864,0.6767,True,False,1
223,4507,22389,3,12,1.7357,1.7736,True,False,1
224,4415,21954,3,12,1.7309,1.7681,True,False,1
225,4624,22990,3,12,1.7288,2.2053,True,False,1
226,305,1499,3,12,1.641,1.678,True,False,1
227,306,1501,4,12,1.6272,1.6675,True,False,1
228,3596,17689,3,12,1.6265,1.6835,True,False,1
229,3529,17331,4,12,1.5871,1.6196,True,False,1
230,2473,12303,3,12,1.5119,1.5132,True,False,1
231,307,1508,3,12,1.484,1.512,True,False,1
232,2819,13882,4,12,1.4398,1.4139,True,False,1
233,1903,9288,3,12,1.4372,1.4688,True,False,1
234,5822,29011,4,12,1.4033,1.4092,True,False,1
235,793,3871,3,12,1.3975,1.4097,True,False,1
236,2049,10013,4,12,1.395,1.5241,True,False,1
237,5821,29011,3,12,1.3879,1.4161,True,False,1
238,6018,30014,3,12,1.3795,1.4424,True,False,1
239,3088,15105,3,12,1.3775,1.4668,True,False,1
240,1276,6259,4,12,1.375,1.4624,True,False,1
241,4982,24832,4,12,1.3737,2.8174,True,False,1
242,4508,22389,4,12,1.3723,1.4194,True,False,1
243,2820,13883,3,12,1.3721,1.4092,True,False,1
244,4242,21100,4,12,1.3704,1.4132,True,False,1
245,3597,17690,4,12,1.3645,1.4127,True,False,1
246,6017,30012,3,12,1.3644,1.4155,True,False,1
247,6056,30192,4,12,1.3639,2.849,True,False,1
248,1721,8383,3,12,1.3603,1.4198,True,False,1
249,4526,22490,4,12,1.3579,2.8297,True,False,1
250,4416,21955,4,12,1.3559,1.7597,True,False,1
251,4653,23143,4,12,1.3534,2.3279,True,False,1
252,3530,17332,3,12,1.3521,1.4019,True,False,1
253,5736,28606,4,12,1.352,1.398,True,False,1
254,5735,28606,3,12,1.3513,1.3935,True,False,1
255,794,3874,3,12,1.3499,1.6834,True,False,1
256,4651,23129,4,12,1.3448,2.3624,True,False,1
257,3300,16177,4,12,1.3439,1.6446,True,False,1
258,4660,23164,4,12,1.3417,4.1521,True,False,1
259,300,1478,3,12,1.3363,1.3795,True,False,1
260,4658,23159,4,12,1.332,4.0102,True,False,1
261,4657,23152,4,12,1.3268,2.7005,True,False,1
262,2373,11772,4,12,1.3194,1.4156,True,False,1
263,2471,12290,4,12,1.2643,1.5178,True,False,1
264,3312,16212,3,12,1.2271,1.6485,True,False,1
265,1795,8726,3,12,1.1477,1.1971,True,False,1
266,1841,8964,4,12,1.1166,1.5511,True,False,1
