fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
2533,6565,4,False,1,False,1,20,0.0576,0.0647,0.0,0.5074,0,0,True,1,11,46,,strict no-fallback: direct AI assignment did not detect fault,1.7344,1.0971
2534,6566,3,False,1,False,1,51,0.072,0.0647,0.0,1.6155,0,0,False,2,325,705,,strict no-fallback: direct AI assignment did not detect fault,21.7922,20.0323
2535,6566,4,True,1,True,1,20,0.0591,0.0644,0.0,0.5025,1,0,True,1,0,21,,,1.0412,0.4077
2536,6567,3,False,1,False,1,72,0.0581,0.0645,0.0,2.2822,0,0,False,2,315,721,,strict no-fallback: direct AI assignment did not detect fault,22.4306,20.0181
2537,6567,4,True,1,True,1,20,0.0582,0.065,0.0,0.505,1,0,True,1,0,21,,,1.0484,0.4127
2538,6568,3,False,1,False,1,72,0.0406,0.0645,0.0,2.2849,0,0,False,2,315,721,,strict no-fallback: direct AI assignment did not detect fault,22.4105,20.013
2539,6568,4,True,1,True,1,20,0.0564,0.0646,0.0,0.503,1,0,True,1,0,21,,,1.0469,0.4151
2540,6569,3,True,1,True,1,48,0.0193,0.0674,0.0,1.5361,1,0,True,1,0,49,,,2.6074,0.9768
2541,6569,4,True,1,True,1,20,0.0582,0.0658,0.0,0.5091,1,0,True,1,0,21,,,1.0443,0.4035
2542,6570,3,False,1,False,1,88,0.0374,0.0656,0.0,2.7845,0,0,False,2,311,727,,strict no-fallback: direct AI assignment did not detect fault,22.921,20.0257
2543,6570,4,True,1,True,1,20,0.0561,0.0644,0.0,0.5117,1,0,True,1,0,21,,,1.0555,0.4158
2544,6571,3,False,1,False,1,41,0.0195,0.0659,0.0,1.3053,0,0,True,1,47,132,,strict no-fallback: direct AI assignment did not detect fault,4.8334,3.4353
2545,6571,4,True,1,True,1,20,0.0568,0.0666,0.0,0.5078,1,0,True,1,0,21,,,1.0495,0.4108
2546,6572,3,False,1,False,1,28,0.0656,0.0656,0.0,0.7841,0,0,False,2,341,708,,strict no-fallback: direct AI assignment did not detect fault,20.931,20.0082
2547,6572,4,False,1,False,1,72,0.0421,0.0647,0.0,2.2869,0,0,False,2,334,715,,strict no-fallback: direct AI assignment did not detect fault,22.4178,20.0168
2548,6573,3,False,1,False,1,27,0.0651,0.0652,0.0,0.7439,0,0,False,2,342,712,,strict no-fallback: direct AI assignment did not detect fault,20.8914,20.0094
2549,6573,4,False,1,False,1,75,0.0502,0.0667,0.0,2.4121,0,0,False,2,328,712,,strict no-fallback: direct AI assignment did not detect fault,22.5405,20.0041
2550,6574,3,False,1,False,1,28,0.0688,0.0663,0.0,0.7835,0,0,False,2,338,703,,strict no-fallback: direct AI assignment did not detect fault,20.9436,20.0171
2551,6574,4,False,1,False,1,75,0.0346,0.0638,0.0,2.3639,0,0,False,2,328,712,,strict no-fallback: direct AI assignment did not detect fault,22.4899,20.0202
2552,6575,3,False,1,False,1,27,0.0969,0.064,0.0,0.7534,0,0,False,2,341,707,,strict no-fallback: direct AI assignment did not detect fault,20.9604,20.0387
