fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
6229,31071,4,True,1,True,1,25,0.8142,0.0,0.0,0.8094,1,0,True,1,0,26,,,2.2718,0.5138
6230,31074,3,True,1,True,1,7,0.6428,0.0335,0.0,0.1645,1,0,True,1,0,8,,,1.027,0.156
6231,31076,3,True,1,True,1,7,0.599,0.0329,0.0,0.1625,1,0,True,1,0,8,,,0.9821,0.1575
6232,31081,3,True,1,True,1,7,0.6533,0.0336,0.0,0.1636,1,0,True,1,0,8,,,1.0414,0.1608
6233,31081,4,True,1,True,1,8,4.459,0.0333,0.0,0.099,1,0,True,1,0,6,,,4.7672,0.1447
6234,31091,4,True,1,True,1,8,0.4872,0.0333,0.0,0.0967,1,0,True,1,0,6,,,0.766,0.119
6235,31097,4,True,1,True,1,6,14.9314,0.0332,0.0,0.0,1,0,True,1,0,6,,,15.1158,0.1188
6236,31099,4,True,1,True,1,16,1.2746,0.0,0.0,0.5354,1,0,True,1,0,17,,,2.2358,0.3389
6237,31107,3,True,1,True,1,21,0.6233,0.0,0.0,0.7208,1,0,True,1,0,22,,,2.0734,0.492
6238,31132,3,True,1,True,1,9,1.6748,0.0332,0.0,0.1901,1,0,True,1,0,35,,,2.6672,0.6934
6239,31142,3,True,1,True,1,14,1.7632,0.0329,0.0,0.1906,1,0,True,1,0,3,,,2.379,0.0553
6240,31142,4,False,1,False,1,18,1.1223,0.0,1.0499,5.6178,2,62,False,2,496,1074,,,38.1476,30.0142
6241,31152,3,True,1,True,1,18,1.1611,0.0,0.0,0.6017,1,0,True,1,0,19,,,2.1508,0.3617
6242,31153,3,True,1,True,1,18,0.8429,0.0,0.0,0.5978,1,0,True,1,0,19,,,1.838,0.3709
6243,31155,3,True,1,True,1,19,9.9909,0.0344,0.0,0.4999,1,0,True,1,0,20,,,10.9229,0.3813
6244,31164,3,False,1,False,1,14,13.6362,0.0,13.1988,5.5483,2,77,False,2,496,1036,,,62.4483,30.0063
6245,31165,4,False,1,False,1,25,1.4697,0.0332,1.4243,5.2542,2,73,True,1,235,529,,,22.8091,14.5656
