fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
39,3935,4,True,1,True,1,21,0.0107,0.0651,0.0,0.6414,1,0,True,1,0,22,,,1.1685,0.4434
40,3939,3,False,1,False,1,12,0.0325,0.065,0.0,0.3537,0,0,False,2,327,667,,strict no-fallback: direct AI assignment did not detect fault,20.4731,20.0139
41,3939,4,False,1,False,1,30,0.0113,0.0662,0.0,0.9087,0,0,True,1,215,462,,strict no-fallback: direct AI assignment did not detect fault,14.2017,13.2077
42,3947,3,True,1,True,1,21,0.0113,0.065,0.0,0.6331,1,0,True,1,0,40,,,1.5185,0.8011
43,3947,4,False,1,False,1,14,0.0106,0.0654,0.0,0.4107,0,0,True,1,0,40,,strict no-fallback: direct AI assignment did not detect fault,1.2839,0.7892
44,3949,3,True,1,True,1,22,0.0105,0.0636,0.0,0.6564,1,0,True,1,0,25,,,1.2421,0.5037
45,3949,4,True,1,True,1,24,0.0107,0.0629,0.0,0.7213,1,0,True,1,0,25,,,1.3105,0.5076
46,3957,3,True,1,True,1,23,0.0159,0.0667,0.0,0.6925,1,0,True,1,0,26,,,1.2949,0.5118
47,3957,4,True,1,True,1,28,0.0161,0.0633,0.0,0.8386,1,0,True,1,0,27,,,1.4748,0.5486
48,3958,3,True,1,True,1,25,0.0111,0.0633,0.0,0.7428,1,0,True,1,0,26,,,1.3518,0.5261
49,3958,4,True,1,True,1,24,0.0112,0.0637,0.0,0.7086,1,0,True,1,0,25,,,1.2889,0.4977
50,3961,3,True,1,True,1,21,0.0117,0.065,0.0,0.6248,1,0,True,1,0,22,,,1.1555,0.4463
51,3961,4,True,1,True,1,21,0.011,0.0658,0.0,0.6232,1,0,True,1,0,22,,,1.156,0.4482
52,3964,3,False,1,False,1,12,0.0106,0.0638,0.0,0.3482,0,0,True,1,28,84,,strict no-fallback: direct AI assignment did not detect fault,2.7113,2.2806
53,3964,4,False,1,False,1,29,0.0107,0.064,0.0,0.8759,0,0,True,1,215,461,,strict no-fallback: direct AI assignment did not detect fault,14.2051,13.247
54,3974,3,True,1,True,1,24,0.0208,0.0646,0.0,0.7092,1,0,True,1,0,27,,,1.3441,0.5415
55,3974,4,True,1,True,1,22,0.0348,0.032,0.0,0.5708,1,0,True,1,0,23,,,1.1082,0.4621
56,3975,3,True,1,True,1,13,0.0198,0.0635,0.0,0.3728,1,0,True,1,0,16,,,0.7952,0.3308
57,3975,4,True,1,True,1,13,0.0351,0.0324,0.0,0.2846,1,0,True,1,0,14,,,0.647,0.2869
58,3976,3,False,1,False,1,22,0.0201,0.0651,0.0,0.6534,0,0,True,1,78,183,,strict no-fallback: direct AI assignment did not detect fault,5.9829,5.2367
59,3976,4,False,1,False,1,21,0.0346,0.0326,0.0,0.5355,0,0,True,1,1,25,,strict no-fallback: direct AI assignment did not detect fault,1.1349,0.5244
60,3977,3,True,1,True,1,17,0.0213,0.0701,0.0,0.5142,1,0,True,1,0,16,,,0.93,0.3146
61,3977,4,True,1,True,1,17,0.0217,0.0653,0.0,0.513,1,0,True,1,0,23,,,1.0739,0.4662
62,3978,3,True,1,True,1,25,0.0114,0.0672,0.0,0.753,1,0,True,1,0,34,,,1.5138,0.6741
63,3978,4,True,1,True,1,24,0.0117,0.0636,0.0,0.718,1,0,True,1,0,34,,,1.4733,0.6724
64,3979,3,True,1,True,1,13,0.0233,0.0652,0.0,0.3171,1,0,True,1,0,15,,,0.7134,0.3001
65,3979,4,True,1,True,1,13,0.0268,0.0638,0.0,0.283,1,0,True,1,0,14,,,0.6607,0.2793
66,3980,3,True,1,True,1,14,0.0253,0.0652,0.0,0.4104,1,0,True,1,0,19,,,0.9048,0.3962
67,3980,4,True,1,True,1,13,0.0547,0.066,0.0,0.2803,1,0,True,1,0,14,,,0.693,0.2844
68,3981,3,True,1,True,1,22,0.0212,0.0691,0.0,0.6503,1,0,True,1,0,22,,,1.1911,0.4427
69,3981,4,True,1,True,1,18,0.0216,0.068,0.0,0.4426,1,0,True,1,0,19,,,0.9148,0.375
70,3982,3,True,1,True,1,14,0.0214,0.0648,0.0,0.4139,1,0,True,1,0,18,,,0.8616,0.354
71,3982,4,True,1,True,1,13,0.0214,0.0642,0.0,0.2822,1,0,True,1,0,14,,,0.6526,0.277
72,3983,3,True,1,True,1,14,0.0296,0.0638,0.0,0.411,1,0,True,1,0,20,,,0.9147,0.4025
73,3983,4,True,1,True,1,13,0.0579,0.0341,0.0,0.2873,1,0,True,1,0,14,,,0.6611,0.2741
74,3984,3,False,1,False,1,48,0.0618,0.0681,0.0,1.4684,0,0,False,2,325,708,,strict no-fallback: direct AI assignment did not detect fault,21.607,20.0007
75,3984,4,False,1,False,1,48,0.0105,0.0651,0.0,1.4285,0,0,True,1,0,20,,strict no-fallback: direct AI assignment did not detect fault,1.903,0.3912
76,3987,3,False,1,False,1,15,0.0105,0.0646,0.0,0.4459,0,0,True,1,33,119,,strict no-fallback: direct AI assignment did not detect fault,3.5395,3.0106
77,3987,4,False,1,False,1,15,0.0466,0.0664,0.0,0.4382,0,0,False,2,326,688,,strict no-fallback: direct AI assignment did not detect fault,20.5758,20.0165
78,3990,3,False,1,False,1,18,0.0108,0.064,0.0,0.5351,0,0,True,1,0,29,,strict no-fallback: direct AI assignment did not detect fault,1.1983,0.5807
79,3990,4,True,1,True,1,55,0.0107,0.0643,0.0,1.681,1,0,True,1,0,56,,,2.898,1.134
80,3993,3,False,1,False,1,15,0.0101,0.0642,0.0,0.4384,0,0,True,1,1,54,,strict no-fallback: direct AI assignment did not detect fault,1.6017,1.0811
81,3993,4,False,1,False,1,15,0.0099,0.0658,0.0,0.44,0,0,True,1,62,146,,strict no-fallback: direct AI assignment did not detect fault,4.6375,4.1138
82,3996,3,True,1,True,1,54,0.0099,0.0641,0.0,1.6501,1,0,True,1,0,55,,,2.8295,1.0978
83,3996,4,True,1,True,1,55,0.0103,0.0644,0.0,1.6754,1,0,True,1,0,56,,,2.8711,1.1133
84,3997,3,True,1,True,1,23,0.0306,0.0645,0.0,0.6505,1,0,True,1,0,30,,,1.3456,0.5923
85,3997,4,True,1,True,1,20,0.0802,0.067,0.0,0.5064,1,0,True,1,0,21,,,1.0916,0.4302
86,3998,3,True,1,True,1,13,0.03,0.0699,0.0,0.3505,1,0,True,1,0,18,,,0.8171,0.3585
87,3998,4,True,1,True,1,13,0.0807,0.0641,0.0,0.2798,1,0,True,1,0,14,,,0.7179,0.2855
88,3999,3,False,1,False,1,27,0.0335,0.0632,0.0,0.7666,0,0,True,1,62,155,,strict no-fallback: direct AI assignment did not detect fault,5.1198,4.2486
89,3999,4,False,1,False,1,20,0.0692,0.032,0.0,0.4965,0,0,True,1,0,19,,strict no-fallback: direct AI assignment did not detect fault,0.9774,0.3719
90,4000,3,True,1,True,1,14,0.0301,0.066,0.0,0.4061,1,0,True,1,0,23,,,0.9804,0.4699
91,4000,4,True,1,True,1,13,0.0614,0.033,0.0,0.2807,1,0,True,1,0,14,,,0.6585,0.2758
92,4005,3,True,1,True,1,22,0.0095,0.0674,0.0,0.6578,1,0,True,1,0,23,,,1.2027,0.4603
93,4005,4,True,1,True,1,22,0.0092,0.0641,0.0,0.6559,1,0,True,1,0,23,,,1.1922,0.455
94,4007,3,True,1,True,1,20,0.0106,0.0653,0.0,0.6278,1,0,True,1,0,21,,,1.1338,0.4224
95,4007,4,True,1,True,1,22,0.0191,0.0644,0.0,0.6312,1,0,True,1,0,23,,,1.1829,0.4605
96,4014,3,True,1,True,1,5,0.0048,0.0664,0.0,0.1317,1,0,True,1,0,6,,,0.3382,0.1258
97,4014,4,True,1,True,1,7,0.0048,0.0648,0.0,0.2256,1,0,True,1,0,8,,,0.4635,0.1599
98,4027,3,True,1,True,1,13,0.0057,0.0633,0.0,0.4123,1,0,True,1,0,14,,,0.7883,0.2989
99,4027,4,True,1,True,1,6,0.0094,0.0666,0.0,0.1274,1,0,True,1,0,8,,,0.3691,0.1579
100,4028,3,True,1,True,1,4,0.0051,0.032,0.0,0.0,1,0,True,1,0,3,,,0.0969,0.056
101,4028,4,True,1,True,1,4,0.0048,0.0323,0.0,0.0,1,0,True,1,0,5,,,0.1393,0.0983
102,4036,3,False,1,False,1,35,0.0315,0.0661,0.0,1.0658,0,0,False,2,324,689,,strict no-fallback: direct AI assignment did not detect fault,21.1762,20.0051
103,4036,4,False,1,False,1,35,0.038,0.0657,0.0,1.0778,0,0,False,2,324,688,,strict no-fallback: direct AI assignment did not detect fault,21.2002,20.0107
104,4041,3,True,1,True,1,6,0.0105,0.0657,0.0,0.1612,1,0,True,1,0,7,,,0.3936,0.148
105,4041,4,True,1,True,1,6,0.0103,0.0645,0.0,0.158,1,0,True,1,0,7,,,0.3754,0.1347
106,4047,3,True,1,True,1,21,0.0109,0.0642,0.0,0.6316,1,0,True,1,0,23,,,1.1701,0.4559
107,4047,4,True,1,True,1,21,0.0112,0.0648,0.0,0.6327,1,0,True,1,0,22,,,1.1625,0.4459
108,4053,3,True,1,True,1,21,0.0107,0.0638,0.0,0.6042,1,0,True,1,0,22,,,1.1268,0.44
