fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,ai_less_backtracks,ai_error,time_s,classic_time_s
46,24,3,True,0,False,0,0,0.0,0.0,0.0,0.5435,1,0,True,1,0,27,,,0.5435,0.5435
47,24,4,True,0,False,0,0,0.0,0.0,0.0,0.5523,1,0,True,1,0,27,,,0.5523,0.5523
48,25,3,True,0,False,0,0,0.0,0.0,0.0,0.5384,1,0,True,1,0,27,,,0.5384,0.5384
49,25,4,True,0,False,0,0,0.0,0.0,0.0,0.5353,1,0,True,1,0,27,,,0.5353,0.5353
50,26,3,True,0,False,0,0,0.0,0.0,0.0,0.5501,1,0,True,1,0,27,,,0.5501,0.5501
51,26,4,True,0,False,0,0,0.0,0.0,0.0,0.5643,1,0,True,1,0,27,,,0.5643,0.5643
52,27,3,True,0,False,0,0,0.0,0.0,0.0,0.5361,1,0,True,1,0,27,,,0.5361,0.5361
53,27,4,True,0,False,0,0,0.0,0.0,0.0,0.5433,1,0,True,1,0,27,,,0.5433,0.5433
54,28,3,True,0,False,0,0,0.0,0.0,0.0,0.5355,1,0,True,1,0,27,,,0.5355,0.5355
55,28,4,True,0,False,0,0,0.0,0.0,0.0,0.533,1,0,True,1,0,27,,,0.533,0.533
56,29,3,True,0,False,0,0,0.0,0.0,0.0,0.5458,1,0,True,1,0,27,,,0.5458,0.5458
57,29,4,True,0,False,0,0,0.0,0.0,0.0,0.5356,1,0,True,1,0,27,,,0.5356,0.5356
58,30,3,True,0,False,0,0,0.0,0.0,0.0,0.53,1,0,True,1,0,27,,,0.53,0.53
59,30,4,True,0,False,0,0,0.0,0.0,0.0,0.5326,1,0,True,1,0,27,,,0.5326,0.5326
60,31,3,True,0,False,0,0,0.0,0.0,0.0,0.5407,1,0,True,1,0,27,,,0.5407,0.5407
61,31,4,True,0,False,0,0,0.0,0.0,0.0,0.5555,1,0,True,1,0,27,,,0.5555,0.5555
62,32,3,True,0,False,0,0,0.0,0.0,0.0,0.5443,1,0,True,1,0,27,,,0.5443,0.5443
63,32,4,True,0,False,0,0,0.0,0.0,0.0,0.5449,1,0,True,1,0,27,,,0.5449,0.5449
64,33,3,True,0,False,0,0,0.0,0.0,0.0,0.525,1,0,True,1,0,27,,,0.525,0.525
65,33,4,True,0,False,0,0,0.0,0.0,0.0,0.5374,1,0,True,1,0,27,,,0.5374,0.5374
66,34,3,True,0,False,0,0,0.0,0.0,0.0,0.1148,1,0,True,1,0,6,,,0.1148,0.1148
67,34,4,True,0,False,0,0,0.0,0.0,0.0,0.1182,1,0,True,1,0,6,,,0.1182,0.1182
68,35,3,True,0,False,0,0,0.0,0.0,0.0,0.7048,1,7,True,1,7,28,,,0.7048,0.7048
69,35,4,True,0,False,0,0,0.0,0.0,0.0,0.7023,1,7,True,1,7,28,,,0.7023,0.7023
70,36,3,True,0,False,0,0,0.0,0.0,0.0,0.0983,1,0,True,1,0,5,,,0.0983,0.0983
71,36,4,True,0,False,0,0,0.0,0.0,0.0,0.1017,1,0,True,1,0,5,,,0.1017,0.1017
72,37,3,True,0,False,0,0,0.0,0.0,0.0,0.8598,1,0,True,1,0,42,,,0.8598,0.8598
