fault_index,bench,source_fault_index,gate_id,fault_val,stuck_at,status,elapsed_s,return_code
791484,data/bench/ITC99_all_numeric/b19.bench,441410,220706,3,0,completed,0.256524,0
755987,data/bench/ITC99_all_numeric/b19.bench,405913,202957,4,1,completed,0.306056,0
548720,data/bench/ITC99_all_numeric/b19.bench,198646,99324,3,0,completed,0.308455,0
350203,data/bench/ITC99_all_numeric/b19.bench,129,65,4,1,completed,0.306495,0
378169,data/bench/ITC99_all_numeric/b19.bench,28095,14048,4,1,completed,0.354817,0
744638,data/bench/ITC99_all_numeric/b19.bench,394564,197283,3,0,completed,0.358829,0
789516,data/bench/ITC99_all_numeric/b19.bench,439442,219722,3,0,completed,0.354543,0
728161,data/bench/ITC99_all_numeric/b19.bench,378087,189044,4,1,completed,0.458731,0
499667,data/bench/ITC99_all_numeric/b19.bench,149593,74797,4,1,completed,0.208329,0
466392,data/bench/ITC99_all_numeric/b19.bench,116318,58160,3,0,completed,0.308349,0
485220,data/bench/ITC99_all_numeric/b19.bench,135146,67574,3,0,completed,0.412615,0
553252,data/bench/ITC99_all_numeric/b19.bench,203178,101590,3,0,completed,0.408741,0
456240,data/bench/ITC99_all_numeric/b19.bench,106166,53084,3,0,completed,0.457401,0
477160,data/bench/ITC99_all_numeric/b19.bench,127086,63544,3,0,completed,0.408285,0
790481,data/bench/ITC99_all_numeric/b19.bench,440407,220204,4,1,completed,0.496178,0
696990,data/bench/ITC99_all_numeric/b19.bench,346916,173459,3,0,completed,0.451796,0
731687,data/bench/ITC99_all_numeric/b19.bench,381613,190807,4,1,completed,0.453797,0
706267,data/bench/ITC99_all_numeric/b19.bench,356193,178097,4,1,completed,0.412038,0
799279,data/bench/ITC99_all_numeric/b19.bench,449205,224603,4,1,completed,0.496383,0
538071,data/bench/ITC99_all_numeric/b19.bench,187997,93999,4,1,completed,0.458191,0
481449,data/bench/ITC99_all_numeric/b19.bench,131375,65688,4,1,completed,0.452626,0
441507,data/bench/ITC99_all_numeric/b19.bench,91433,45717,4,1,completed,0.45487,0
701226,data/bench/ITC99_all_numeric/b19.bench,351152,175577,3,0,completed,0.45376,0
484384,data/bench/ITC99_all_numeric/b19.bench,134310,67156,3,0,completed,0.412023,0
647528,data/bench/ITC99_all_numeric/b19.bench,297454,148728,3,0,completed,0.410981,0
717023,data/bench/ITC99_all_numeric/b19.bench,366949,183475,4,1,completed,0.253785,0
673575,data/bench/ITC99_all_numeric/b19.bench,323501,161751,4,1,completed,0.243987,0
488608,data/bench/ITC99_all_numeric/b19.bench,138534,69268,3,0,completed,0.211868,0
445520,data/bench/ITC99_all_numeric/b19.bench,95446,47724,3,0,completed,0.231193,0
496197,data/bench/ITC99_all_numeric/b19.bench,146123,73062,4,1,completed,0.206843,0
399012,data/bench/ITC99_all_numeric/b19.bench,48938,24470,3,0,completed,0.252112,0
527057,data/bench/ITC99_all_numeric/b19.bench,176983,88492,4,1,completed,0.278869,0
729900,data/bench/ITC99_all_numeric/b19.bench,379826,189914,3,0,completed,0.346973,0
667966,data/bench/ITC99_all_numeric/b19.bench,317892,158947,3,0,completed,0.200951,0
499780,data/bench/ITC99_all_numeric/b19.bench,149706,74854,3,0,completed,0.223948,0
513151,data/bench/ITC99_all_numeric/b19.bench,163077,81539,4,1,completed,0.244404,0
632844,data/bench/ITC99_all_numeric/b19.bench,282770,141386,3,0,completed,0.268504,0
727114,data/bench/ITC99_all_numeric/b19.bench,377040,188521,3,0,completed,0.214292,0
697195,data/bench/ITC99_all_numeric/b19.bench,347121,173561,4,1,completed,0.222715,0
704324,data/bench/ITC99_all_numeric/b19.bench,354250,177126,3,0,completed,0.214047,0
738985,data/bench/ITC99_all_numeric/b19.bench,388911,194456,4,1,completed,0.211403,0
425096,data/bench/ITC99_all_numeric/b19.bench,75022,37512,3,0,completed,0.312764,0
425394,data/bench/ITC99_all_numeric/b19.bench,75320,37661,3,0,completed,0.238985,0
597873,data/bench/ITC99_all_numeric/b19.bench,247799,123900,4,1,completed,0.242363,0
374949,data/bench/ITC99_all_numeric/b19.bench,24875,12438,4,1,completed,0.223188,0
449376,data/bench/ITC99_all_numeric/b19.bench,99302,49652,3,0,completed,0.28035,0
455263,data/bench/ITC99_all_numeric/b19.bench,105189,52595,4,1,completed,0.2686,0
595688,data/bench/ITC99_all_numeric/b19.bench,245614,122808,3,0,completed,0.215352,0
510965,data/bench/ITC99_all_numeric/b19.bench,160891,80446,4,1,completed,0.23117,0
565456,data/bench/ITC99_all_numeric/b19.bench,215382,107692,3,0,completed,0.253341,0
415382,data/bench/ITC99_all_numeric/b19.bench,65308,32655,3,0,completed,0.192693,0
705999,data/bench/ITC99_all_numeric/b19.bench,355925,177963,4,1,completed,0.279432,0
498334,data/bench/ITC99_all_numeric/b19.bench,148260,74131,3,0,completed,0.268122,0
